from,to,year,relationship,sector,channel
sg,cosmopolitan,zweivierzehn,model,modeling,
ap,cro,zweisiebzehn,actor,musicvideo,
ap,cro,zweisiebzehn,love,,
CB,cruisearoundtheworld,zweizwanzig,model,modeling,
jds,cunda,,ambassador,advertisement,
jh,cunda,zweiacht,model,modeling,
sn,cunda,zweizehn,model,advertisement,
tda,danielwellington,,model,modeling,
lg,dasdingdesjahres,zweiachtzehn,jury,tvshow,Pro7
lg,dasdingdesjahres,zweineunzehn,jury,tvshow,Pro7
lg,dasdingdesjahres,zweizwanzig,jury,tvshow,Pro7
rm,dasDuellumdieGeld,zweisechszehn,candidate,tvshow,Pro7
rm,dasgrossepromibacken,zweizwanzig,candidate,tvshow,Sat1
AW,dasperfektepromidinner,zweineun,candidate,tvshow,VOX
lg,dasverlorenedorf,zweisiebzehn,voice actor,movie,
BM,deinwegzumgluecksgewicht,zweifuenfzehn,author,literature,
BM,deralte,zweizwoelf,actor,tvshow,ZDF
BM,deronkelthehawk,zweizweiundzwanzig,actor,movie,
BM,derstaatsanwalt,zweizwoelf,actor,tvshow,ZDF
BM,deutschemuseen,zweizwoelf,ambassador,advertisement,
lg,deutschlandtanzt,zweifuenfzehn,host,tvshow,Pro7
jds,dickeliebe,zweiacht,actor,movie,
rm,diealm,zweielf,candidate,tvshow,Pro7
BM,diegeschichtedermenschheitleichtgekuerzt,zweizweiundzwanzig,actor,movie,
AW,diemodelwg,zweineun,candidate,tvshow,Puls4
amp,diorBeauty,zweizweiundzwanzig,ambassador,modeling,
BM,disneylandparis,zweiacht,ambassador,advertisement,
ak,dkms,zweizwoelf,ambassador,event,
as,documentjournal,zweizwanzig,model,modeling,
sn,dreistendrei,zweielf,actor,tvshow,Sat1
as,eckenundkanten,zweieinundzwanzig,model,modeling,
ec,einstein,zweiachtzehn,actor,tvshow,Sat1
aa,elitemodels,,contract,modeling,
BM,elitemodels,,contract,modeling,
CB,elitemodels,,contract,modeling,
jb,elitemodels,zweizwoelf,contract,modeling,
vf,elitemodels,zweizwanzig,contract,modeling,
