from,to,year,relationship,sector,channel
BM,heiratenistnichtsfürfeiglinge,2015,actor,movie,ZDF
BM,soko5113,2015,actor,tv show,ZDF
BM,sokowismar,2016,actor,tv show,ZDF
BM,Mordinbestergesellschaftwintersletzterfall,2017,actor,tv show,ARD
BM,oskargehenwennsamschönstenist,2018,actor,movie,
BM,theaspernpapers,2018,actor,movie,
BM,Reiterhofwildensteindiepferdeflüsterin,2019,actor,tv show,ZDF
BM,endlessnachrichtvonchris,2020,actor,movie,
BM,armyofthieves,2021,actor,movie,
BM,deronkelthehawk,2022,actor,movie,
BM,wolkeuntermdach,2022,actor,movie,
BM,Diegeschichtedermenschheitleichtgekürzt,2022,actor,movie,
BM,schaechten,2022,actor,movie,
BM,disneylandparis,2008,ambassador,advertisement,
BM,mcdonalds,2007,ambassador,advertisement,
BM,panteneprov,2007,ambassador,advertisement,
BM,cunda,2007,ambassador,advertisement,
BM,letsdance,2018,candidate,tv show,RTL
BM,schaebens,2016,ambassador,advertisement,
BM,Fashionweek_Paris,2010,model,modeling,
BM,Fashionweek_Berlin,2011,model,modeling,
BM,jahrdermathematik,2008,ambassador,advertisement,
BM,deutschemuseen,2012,ambassador,advertisement,
BM,wwf,2015,ambassador,advertisement,
BM,style,2008,model,modeling,
BM,tango,2008,model,modeling,
BM,hochzeit,2009,model,modeling,
BM,plazawatch,2010,model,modeling,
BM,semperey,2011,model,modeling,
BM,celebrity,2007,model,modeling,
BM,lofficiel,2008,model,modeling,
BM,style,2008,model,modeling,
BM,tango,2008,model,modeling,
BM,sposabella,2008,model,modeling,
BM,cosmopolitan,2008,model,modeling,
BM,marieclaire,2009,model,modeling,
BM,instyle,2010,model,modeling,
BM,readytowear,2007,model,modeling,
BM,readytowear,2008,model,modeling,
BM,readytowear,2008,model,modeling,
BM,readytowear,2009,model,modeling,
BM,readytowear,2010,model,modeling,
BM,readytowear,2011,model,modeling,
BM,readytowear,2012,model,modeling,
BM,deinwegzumgluecksgewicht,2015,author,literature,
BM,yogurette,2008,ambassador,advertisement,
BM,lidl,2021,ambassador,advertisement,
BM,majormodelmanagementnewyork,,contract,modeling,
BM,elitemodels,,contract,modeling,
BM,yulimodels,,contract,modeling,
BM,fashioncultmodelmanagement,,contract,modeling,
BM,IMGModels,,contract,modeling,
BM,mpmanagement,,contract,modeling,
BM,majormodelmanagementmilan,,contract,modeling,
BM,majormodelmanagementmunich,,contract,modeling,
BM,Hallmann,2016,love,,
BM,Hallmann,2017,love,,
BM,Hallmann,2018,love,,
BM,Hallmann,2019,love,,
BM,Hallmann,2020,love,,
BM,Hallmann,2021,love,,
BM,Hallmann,2022,love,,
BM,Instagram,2013,influencer,social media,
BM,Instagram,2014,influencer,social media,
BM,Instagram,2015,influencer,social media,
BM,Instagram,2016,influencer,social media,
BM,Instagram,2017,influencer,social media,
BM,Instagram,2018,influencer,social media,
BM,Instagram,2019,influencer,social media,
BM,Instagram,2020,influencer,social media,
BM,Instagram,2021,influencer,social media,
BM,Instagram,2022,influencer,social media,
AW,GNTM,2007,candidate,tv show,Pro7
AW,h3halloweenhorrorhostel,2007,actor,movie,
AW,quiztaxi,2007,candidate,tv show,KabelEins
AW,thenexturigeller,2008,candidate,tv show,Pro7
AW,annaunddieliebe,2008,actress,tv show,Sat1
AW,annaunddieliebe,2009,actress,tv show,Sat2
AW,dasperfektepromidinner,2009,candidate,tv show,VOX
AW,diemodelwg,2009,candidate,tv show,Puls4
AW,maennerherzen,2009,actor,movie,
AW,karllagerfeld,,model,modeling,
AW,Erikahendrixkampagne,2008,model,modeling,
AW,hallhuberkampagne,2008,model,modeling,
AW,maxfactorkampagne,2009,model,modeling,
AW,julesmumm,2007,model,advertisement,
AW,russellhobbshaarstylingprodukte,2007,model,advertisement,
AW,starforcekampagne,2007,model,advertisement,Pro7
AW,welovewinterkampagne,2007,model,advertisement,Pro7
AW,hallhuberkampagne,2007,model,advertisement,
AW,zahntechnikerin,2013,employee,medicin,
HN,GNTM,2007,candidate,tv show,Pro7
HN,extremeactivity,2007,candidate,tv show,Pro7
HN,maennerherzen,2009,actor,movie,
HN,modelsinthecity,2012,actor,tv show,
HN,atopmodelinnewyork,2013,actor,movie,
HN,promishoopingqueen,2017,candidate,tv show,VOX
HN,schwarzkopf,,ambassador,advertisement,
HN,tommyhilfiger,,ambassador,advertisement,
HN,esprit,,ambassador,advertisement,
HN,lordundtaylor,,ambassador,advertisement,
HN,loreal,,ambassador,advertisement,
HN,cocacola,,ambassador,advertisement,
HN,valisere,,ambassador,advertisement,
HN,karstadt,,ambassador,advertisement,
HN,opel,,ambassador,advertisement,
HN,isadoramascara,,ambassador,advertisement,
HN,repeatcashmere,,ambassador,advertisement,
HN,peta,,ambassador,advertisement,
HN,mango,,ambassador,advertisement,
HN,fhmfrance,,model,modeling,
HN,cocoon,,model,modeling,
HN,maximgermany,,model,modeling,
HN,southafrica,,model,modeling,
HN,elle,,model,modeling,
HN,esquire,,model,modeling,
HN,cosmopolitan,,model,modeling,
HN,marieclaire,,model,modeling,
HN,gq,,model,modeling,
HN,style,,model,modeling,
HN,harpersbazaar,2007,model,modeling,
HN,Fashionweek_Newyork,2015,model,modeling,
HN,adidasxkanyewestshow,2015,model,modeling,
HN,russellsimmomsargyleCulture,,model,modeling,
HN,adoreme,,model,modeling,
HN,talbotundrunhof,,model,modeling,
HN,unrathundstrano,,model,modeling,
HN,campdavidandsoccx,,model,modeling,
HN,guidomariakretschmar,,model,modeling,
HN,lenahoschek,,model,modeling,
HN,IMGModels,,contract,modeling,
HN,modelwerkhamburg,,contract,modeling,
HN,apmnyc,,contract,modeling,
HN,Ittakes2,2017,candidate,tv show,RTL
HN,Instagram,2015,influencer,social media,
HN,Instagram,2016,influencer,social media,
HN,Instagram,2017,influencer,social media,
HN,Instagram,2018,influencer,social media,
HN,Instagram,2019,influencer,social media,
HN,Instagram,2020,influencer,social media,
HN,Instagram,2021,influencer,social media,
HN,Instagram,2022,influencer,social media,
jh,GNTM,2008,candidate,tv show,Pro7
jh,IMGModels,2008,contract,modeling,
jh,IMGModels,2009,contract,modeling,
jh,IMGModels,2010,contract,modeling,
jh,jennykl,2008,founder,fashion,
jh,cunda,2008,model,modeling,
jh,philippplein,,model,modeling,
jh,marcelostertag,,model,modeling,
jh,perretschaad,2016,model,modeling,
jh,Twitch,,host,gaming,
jh,steuerfachangestellte,2014,trainee,tax consultancy,
jds,GNTM,2008,candidate,tv show,Pro7
jds,volkswagen,,model,advertisement,
jds,ellemacpherson,2016,model,modeling,
jds,nintendoDS,,model,advertisement,
jds,severinhaircare,2009,model,modeling,
jds,rockundrepublic,,model,modeling,
jds,otto,,model,advertisement,
jds,cunda,,ambassador,advertisement,
jds,dickeliebe,2008,actor,movie,
jds,GNTMVideospiel,2009,host,event,
jds,modelbooking,,job,fashion,
jds,celiaczerlisnki,,model,modeling,
cl,GNTM,2008,candidate,tv show,Pro7
cl,medienmanagement,2008,student,university,
sn,GNTM ,2009,candidate,tv show,Pro7
sn,wmhealth,2019,model,modeling,
sn,wmhealth,2019,model,modeling,
sn,hundm,2019,ambassador,advertisement,
sn,hundm,2019,model,advertisement,
sn,lanagrossa,2016,ambassador,advertisement,
sn,lanagrossa,2016,model,advertisement,
sn,chloe,2018,ambassador,advertisement,
sn,chloe,2018,model,advertisement,
sn,fossil,2018,model,advertisement,
sn,soliver,2020,ambassador,advertisement,
sn,lov,2017,ambassador,advertisement,
sn,nurucoffee,2016,founder,food,
sn,nuruwomen,2022,founder,charity,
sn,roots,2019,author,literature,
sn,Instagram,2022,influencer,social media,
sn,abenteuermexico,2022,host,documentation,ARD
sn,bundesministerium,2018,ambassador,charity,
sn,bundesministerium,2019,ambassador,charity,
sn,bundesministerium,2020,ambassador,charity,
sn,bundesministerium,2021,ambassador,charity,
sn,bundesministerium,2022,ambassador,charity,
sn,Fashionweek_Berlin,2009,model,fashion,
sn,reebok,2010,model,advertisement,
sn,cunda,2010,model,advertisement,
sn,lufthansa,2011,model,advertisement,
sn,maybellinejade,2009,ambassador,advertisement,
sn,lascana,2013,model,advertisement,
sn,reisefiber,2011,host,tv show,Sat1
sn,ottos_eleven,2010,actor,movie,
sn,dreistendrei,2011,actor,tv show,Sat1
mb,GNTM ,2009,candidate,tv show,Pro7
mb,pars,,contract,modeling,
mb,Instagram,2022,influencer,social media,
mb,officeb,2022,contract,modeling,
mb,gq,2016,model,modeling,
mn,GNTM ,2009,candidate,tv show,Pro7
mn,riogirls,2011,singer,music,
mn,instyle,2017,model,modeling,
mn,sommeramalfi,2013,actor,movie,
mn,tausendmal,2022,actor,movie,
mn,envidia,2016,actor,movie,
mn,leto,2013,actor,movie,
mn,highgirls,2014,actor,movie,
mn,mindbody,2016,actor,movie,
mn,huntprey,2014,actor,movie,
mn,sunlight,2014,actor,movie,
mn,noir,2013,actor,movie,
mn,armans,2015,actor,tv show,WDR
mn,himmelswillen,2021,actor,tv show,ARD
mn,vierfete,2021,host,podcast,
mn,fairknalltweb,2022,founder,fashion,
mn,fairknalltbook,2021,author,literature,
mn,tigges,2022,love,,
mn,yogurette,2015,ambassador,advertisement,
mn,adidas,2011,model,advertisement,
mn,Instagram,2022,influencer,social media,
aa,GNTM,2010,candidate,tv show,Pro7
aa,OneEins,2010,contract,modeling,
aa,eskimomodels,2011,contract,modeling,
aa,eskimomodels,2012,contract,modeling,
aa,eskimomodels,2013,contract,modeling,
aa,eskimomodels,2014,contract,modeling,
aa,eskimomodels,2015,contract,modeling,
aa,eskimomodels,2016,contract,modeling,
aa,eskimomodels,2017,contract,modeling,
aa,eskimomodels,2018,contract,modeling,
aa,eskimomodels,2019,contract,modeling,
aa,eskimomodels,2020,contract,modeling,
aa,eskimomodels,2021,contract,modeling,
aa,eskimomodels,2022,contract,modeling,
aa,citymodels,2011,contract,modeling,
aa,citymodels,2012,contract,modeling,
aa,citymodels,2013,contract,modeling,
aa,citymodels,2014,contract,modeling,
aa,citymodels,2015,contract,modeling,
aa,citymodels,2016,contract,modeling,
aa,citymodels,2017,contract,modeling,
aa,citymodels,2018,contract,modeling,
aa,citymodels,2019,contract,modeling,
aa,citymodels,2020,contract,modeling,
aa,citymodels,2021,contract,modeling,
aa,citymodels,2022,contract,modeling,
aa,redmodels,2014,contract,modeling,
aa,redmodels,2015,contract,modeling,
aa,musemodels,2019,contract,modeling,
aa,pars,,contract,modeling,
aa,elitemodels,,contract,modeling,
aa,francinamodels,,contract,modeling,
aa,themanagementnyc,,contract,modeling,
aa,lippsla,,contract,modeling,
aa,munichmodels,,contract,modeling,
aa,fabriccamilano,,contract,modeling,
aa,Fashionweek_Newyork,2012,model,modeling,
aa,armani,2018,model,modeling,
aa,armani,2018,model,advertisement,
aa,vogue,2013,model,modeling,
aa,Fashionweek_Milan,2013,model,modeling,
aa,marieclaire,2014,model,modeling,
aa,Fashionweek_Australia,2014,model,modeling,
aa,zanabayne,2014,model,modeling,
aa,Fashionweek_Newyork,2014,model,modeling,
aa,uniqlocore,2014,model,advertisement,
aa,Fashionweek_Newyork,2015,model,modeling,
aa,josienatori,2015,model,modeling,
aa,marieclaire,2015,model,modeling,
aa,Fashionweek_Newyork,2015,model,modeling,
aa,Fashionweek_Newyork,2016,model,modeling,
aa,Fashionweek_Newyork,2016,model,modeling,
aa,philippplein,2017,model,modeling,
aa,Fashionweek_Milan,2017,model,modeling,
aa,Fashionweek_Paris,2017,model,modeling,
aa,Fashionweek_Newyork,2017,model,modeling,
aa,Fashionweek_Milan,2018,model,modeling,
aa,Fashionweek_Paris,2018,model,modeling,
aa,Fashionweek_Paris,2018,model,modeling,
aa,Fashionweek_Milan,2018,model,modeling,
aa,Fashionweek_Newyork,2019,model,modeling,
aa,Fashionweek_Newyork,2019,model,modeling,
aa,veronicabeard,2019,model,advertisement,
aa,Fashionweek_Newyork,2019,model,modeling,
aa,Fashionweek_Paris,2020,model,modeling,
aa,Fashionweek_Newyork,2021,model,modeling,
aa,harpersbazaar,2021,model,modeling,
aa,Fashionweek_Newyork,2022,model,modeling,
aa,Fashionweek_Newyork,2022,model,modeling,
hb,GNTM,2010,candidate,tv show,Pro7
hb,OneEins,2010,contract,modeling,
hb,OneEins,2011,contract,modeling,
hb,textilmodedesign,,student,university,
hb,theologie,,student,university,
lwe,GNTM,2010,contract,tv show,Pro7
lwe,ModelsimBabyglueck,2016,actor,tv show,RTL2
lwe,ihelpbecauseican,2022,founder,health,
lwe,becomealive,2014,founder,health,
lwe,becomealive,2015,founder,health,
lwe,becomealive,2016,founder,health,
lwe,becomealive,2017,founder,health,
lwe,becomealive,2018,founder,health,
lwe,becomealive,2019,founder,health,
lwe,becomealive,2020,founder,health,
